DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE113C,2020,93125,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE114C,2020,104291,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE115C,2020,115865,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE116C,2020,128497,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE117C,2020,99678,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE118C,2020,102770,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE119C,2020,111846,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE120C,2020,101693,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE121C,2020,96459,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE122C,2020,88690,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE123C,2020,112528,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE124C,2020,355100,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE125C,2020,111343,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE126C,2020,91216,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE127C,2020,71113,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,EE001C,2020,438341,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,EE002C,2020,95430,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,EE003C,2020,53424,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES001C,2020,5098717,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES002C,2020,3755512,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES003C,2020,1417464,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES004C,2020,884899,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES005C,2020,681877,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES006C,2020,578460,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES007C,2020,459403,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES008C,2020,381223,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES009C,2020,299265,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES010C,2020,422587,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES011C,2020,97848,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES012C,2020,253996,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES013C,2020,219910,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES014C,2020,334398,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES015C,2020,173375,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES016C,2020,85811,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES017C,2020,150984,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES018C,2020,152485,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES019C,2020,797590,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES020C,2020,326039,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES021C,2020,337482,,
