route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,operator,type,train_gco2_pkm,plane_gco2_pkm,train_co2_kg,plane_co2_kg,co2_savings_kg,savings_percent,emission_source,calculation_date,train_gco2_pkm_ademe,train_co2_kg_ademe,co2_savings_kg_ademe,rail_modal_share_pct
EC,Brig,Basel Sbb,day,Brig → Basel Sbb,CH,CH,139.86,SBB (Schweizerische Bundesbahnen SBB),day,14,144,1.96,20.14,18.18,90.3,Back-on-Track 2022,2026-03-22,0.014,1.9580400000000002,18.18196,21.2
IR26,Basel Sbb,Cadenazzo,day,Basel Sbb → Cadenazzo,CH,CH,186.08,SOB-sob (Schweizerische Südostbahn (sob)),day,14,144,2.61,26.8,24.19,90.3,Back-on-Track 2022,2026-03-22,0.014,2.6051200000000003,24.19488,21.2
EC,Chiasso,Basel Sbb,day,Chiasso → Basel Sbb,CH,CH,220.15,SBB (Schweizerische Bundesbahnen SBB),day,14,144,3.08,31.7,28.62,90.3,Back-on-Track 2022,2026-03-22,0.014,3.0821,28.6179,21.2
IC3,Chur,Basel Sbb,day,Chur → Basel Sbb,CH,CH,165.61,SBB (Schweizerische Bundesbahnen SBB),day,14,144,2.32,23.85,21.53,90.3,Back-on-Track 2022,2026-03-22,0.014,2.31854,21.531460000000003,21.2
TER,Colmar,Basel Sbb,day,Colmar → Basel Sbb,CH,CH,61.14,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.86,8.8,7.94,90.2,Back-on-Track 2022,2026-03-22,0.014,0.85596,7.944040000000001,21.2
EC,Basel Sbb,Como S Giovanni,day,Basel Sbb → Como S Giovanni,CH,CH,223.98,SBB (Schweizerische Bundesbahnen SBB),day,14,144,3.14,32.25,29.11,90.3,Back-on-Track 2022,2026-03-22,0.014,3.13572,29.11428,21.2
IR56,Basel Sbb,Delemont,day,Basel Sbb → Delemont,CH,CH,27.37,BLS-bls (BLS AG (bls)),day,14,144,0.38,3.94,3.56,90.4,Back-on-Track 2022,2026-03-22,0.014,0.38318,3.55682,21.2
EC,Domodossola I,Basel Sbb,day,Domodossola I → Basel Sbb,CH,CH,168.07,SBB (Schweizerische Bundesbahnen SBB),day,14,144,2.35,24.2,21.85,90.3,Back-on-Track 2022,2026-03-22,0.014,2.35298,21.84702,21.2
Dortmund Hbf → Basel SBB,Dortmund Hbf,Basel Sbb,night,Dortmund → Basel Sbb,DE,DE,441.6,DB,night,14,144,6.18,63.59,57.41,90.3,Back-on-Track 2022,2026-03-22,0.014,6.1824,57.4076,9.9
ICE 43,Basel Sbb,Dusseldorf Hbf,day,Basel Sbb → Dusseldorf,CH,DE,412.4,DB,day,14,144,5.77,59.39,53.62,90.3,Back-on-Track 2022,2026-03-22,0.014,5.7736,53.6164,21.2
Basel SBB → Erfurt Hbf,Basel Sbb,Erfurt Hbf,day,Basel Sbb → Erfurt,DE,DE,455.62,DB,day,14,144,6.38,65.61,59.23,90.3,Back-on-Track 2022,2026-03-22,0.014,6.37868,59.23132,9.9
IR26,Basel Sbb,Erstfeld,day,Basel Sbb → Erstfeld,CH,CH,113.86,SOB-sob (Schweizerische Südostbahn (sob)),day,14,144,1.59,16.4,14.81,90.3,Back-on-Track 2022,2026-03-22,0.014,1.5940400000000001,14.805959999999999,21.2
Frankfurt(Main)Hbf → Basel SBB,Frankfurt Main Hbf,Basel Sbb,day,Frankfurt Main → Basel Sbb,DE,DE,295.28,DB,day,14,144,4.13,42.52,38.39,90.3,Back-on-Track 2022,2026-03-22,0.014,4.13392,38.38608000000001,9.9
S1,Frick,Basel Sbb,day,Frick → Basel Sbb,CH,CH,32.11,SBB (Schweizerische Bundesbahnen SBB),day,14,144,0.45,4.62,4.17,90.3,Back-on-Track 2022,2026-03-22,0.014,0.44954,4.17046,21.2
Basel SBB → Halle(Saale)Hbf,Basel Sbb,Halle Saale Hbf,day,Basel Sbb → Halle Saale,DE,DE,539.95,DB,day,14,144,7.56,77.75,70.19,90.3,Back-on-Track 2022,2026-03-22,0.014,7.5593,70.19069999999999,9.9
ECE 20,Basel Sbb,Hamburg Hbf,day,Basel Sbb → Hamburg,CH,DE,689.15,DB,day,14,144,9.65,99.24,89.59,90.3,Back-on-Track 2022,2026-03-22,0.014,9.6481,89.5919,21.2
Hamburg-Altona → Basel SBB,Hamburg Altona,Basel Sbb,day,Hamburg Altona → Basel Sbb,DE,DE,687.91,DB,day,14,144,9.63,99.06,89.43,90.3,Back-on-Track 2022,2026-03-22,0.014,9.63074,89.42926,9.9
